Countries and areas,Malnutrition among preschool-aged children (0–4 years of age) 2013–2018*: Stunted (%) (moderate and severe): all children,Malnutrition among preschool-aged children (0–4 years of age) 2013–2018*: Stunted (%) (moderate and severe): poorest 20%,Malnutrition among preschool-aged children (0–4 years of age) 2013–2018*: Stunted (%) (moderate and severe): richest 20%,Malnutrition among preschool-aged children (0–4 years of age) 2013–2018*: Wasted (%): severe,Malnutrition among preschool-aged children (0–4 years of age) 2013–2018*: Wasted (%): moderate and severe,Malnutrition among preschool-aged children (0–4 years of age) 2013–2018*: Overweight (%): moderate and severe,"Vitamin A supplement-ation, full coverage (%) 2017",Malnutrition among school-aged children (5–19 years of age) 2016: Thinness (%): thin and severely thin,Malnutrition among school-aged children (5–19 years of age) 2016: Overweight (%): overweight and obese,Malnutrition among women 2016: Underweight 18+ years (%): BMI <18.5 kg/m2,"Malnutrition among women 2016: Anaemia 15–49 years (%): mild, moderate and severe",Percentage of households consuming iodized salt 2013–2018*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DEFINITIONS OF THE INDICATORS,,,,,,,,,,,,,,,,,,,,,,
"Low birthweight – Percentage of infants weighing less than 2,500 grams at birth.",,,,,,,,,,,,,,,,,,,,,,
Early initiation of breastfeeding – Percentage of infants who are put to the breast within one hour of birth.,,,,,,,,,,,,,,,,,,,,,,
Exclusive breastfeeding <6 months – Percentage of children aged 0–5 months who are fed exclusively with breast milk in the 24 hours prior to the survey.,,,,,,,,,,,,,,,,,,,,,,
"Introduction of solid, semi-solid or soft foods [6–8 months] – Percentage of children aged 6–8 months who received solid, semi-solid or soft foods in the 24 hours prior to the survey.",,,,,,,,,,,,,,,,,,,,,,
Breastfeeding at age 2 – Percentage of children aged 20–23 months who received breast milk in the 24 hours prior to the survey.,,,,,,,,,,,,,,,,,,,,,,
Underweight – Moderate and severe: Percentage of children aged 0–59 months who are below minus two standard deviations from median weight-for-age of the World Health Organization (WHO) Child Growth Standards; severe: Percentage of children aged 0–59 months who are below minus three standard deviations from median weight-for-age of the WHO Child Growth Standards.,,,,,,,,,,,,,,,,,,,,,,
Stunting – Moderate and severe: Percentage of children aged 0–59 months who are below minus two standard deviations from median height-for-age of the WHO Child Growth Standards.,,,,,,,,,,,,,,,,,,,,,,
Wasting – Moderate and severe: Percentage of children aged 0–59 months who are below minus two standard deviations from median weight-for-height of the WHO Child Growth Standards.,,,,,,,,,,,,,,,,,,,,,,
Overweight – Moderate and severe: Percentage of children aged 0−59 months who are above two standard deviations from median weight-for-height of the WHO Child Growth Standards.,,,,,,,,,,,,,,,,,,,,,,
Vitamin A supplementation full coverage – The estimated percentage of children aged 6–59 months reached with 2 doses of vitamin A supplements.,,,,,,,,,,,,,,,,,,,,,,
Iodized salt consumption – Percentage of households consuming adequately iodized salt (15 parts per million or more).,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MAIN DATA SOURCES,,,,,,,,,,,,,,,,,,,,,,
"Low birthweight – Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national household surveys, data from routine reporting systems, UNICEF and WHO.",,,,,,,,,,,,,,,,,,,,,,
"Breastfeeding – DHS, MICS, other national household surveys and UNICEF.",,,,,,,,,,,,,,,,,,,,,,
"Underweight, stunting, wasting and overweight – DHS, MICS, other national household surveys, WHO and UNICEF.",,,,,,,,,,,,,,,,,,,,,,
Vitamin A supplementation – UNICEF.,,,,,,,,,,,,,,,,,,,,,,
"Iodized salt consumption – DHS, MICS, other national household surveys and UNICEF.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
