,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,countries and areas ,"At least basic drinking water services
(%)
2017:Total ","At least basic drinking water services
(%)
2017:urban","At least basic drinking water services
(%)
2017:rural","At least basic sanitation services 
(%)
2017:total","At least basic sanitation services 
(%)
2017:urban","At least basic sanitation services 
(%)
2017:rural","Basic hygiene facilities 
(%)
2017:total","Basic hygiene facilities 
(%)
2017:urban","Basic hygiene facilities 
(%)
2017:rural ","basic water services
(%)
2016:total","Basic water services
(%)
2016:primary","Basic water services
(%)
2016:secondary","Basic sanitation services
(%)
2016:total ","Basic sanitation services
(%)
2016:primary","Basic sanitation services
(%)
2016:secondary","Basic hygiene services
(%)
2016:total","Basic hygiene services
(%)
2016:rpimary","Basic hygiene services
(%)
2016:secondary","Basic water services 
(%)
2016:total","Basic water services 
(%)
2016:total","Basic water services 
(%)
2016:total ","Basic water services 
(%)
2016:total "
,,Canada,99,100,99,99,99,99,,,,,,,,,,,,,,,,
,,Central African Republic,,,,,,,,,,16,16,,,,,,,,,,,
,,Chad,39,70,29,8,30,2,6,18,2,23,19,,,,,,,,,,,55
,,Chile,100,100,100,100,100,100,,,,,,,96,96,,,,,,,,
,,China,93,98,86,85,91,76,,,,,,,,,,,,,91,,36,
,,Colombia,97,100,86,90,93,76,65,73,35,55,,,61,,,,,,,,,
,,Comoros,80,88,77,36,45,32,,,,,,,,,,,,,21,2,,
,,Congo,73,87,46,20,27,6,48,56,32,,,,,,,,,,37,,,12
,,Cook Islands,100,,,98,,,,,,100,100,100,100,100,100,100,100,100,,,,
,,Costa Rica,100,100,100,98,98,96,,,,82,85,78,70,68,76,70,68,76,,,,
,,Côte d'Ivoire,73,88,58,32,46,18,19,28,10,,,,,,,,,,57,,,
,,Croatia,100,100,100,97,98,95,,,,51,,,34,,,26,,,,,,
,,Cuba,95,97,90,93,92,95,85,88,76,,,,,,,,,,,,,
,,Cyprus,100,100,100,99,100,98,,,,,,,,,,,,,,,,
,,Czechia,100,100,100,99,99,99,,,,,,,,,,,,,100,95,100,100
,,Democratic People's Republic of Korea,95,97,90,83,90,72,,,,,,,,,,,,,,,,
,,Democratic Republic of the Congo,43,69,23,20,23,18,4,7,2,,,,,,,,,,,,,12
,,Denmark,100,100,100,100,100,100,,,,100,100,100,100,100,100,100,100,100,,,,
,,Djibouti,76,84,47,64,76,19,,,,,,,,,,,,,,,,35
,,Dominica,,,,,,,,,,100,100,100,100,100,100,100,100,100,,,,
,,Dominican Republic,97,98,90,84,86,74,55,58,42,,,,90,90,,,,,,,,
,,Ecuador,94,100,83,88,91,83,81,84,75,51,40,61,83,83,,87,80,94,,,,49
,,Egypt,99,99,99,94,98,91,90,93,88,,,,100,100,100,100,100,100,,,,
,,El Salvador,97,99,92,87,91,79,91,92,86,84,80,87,,,,,,,,,,
,,Equatorial Guinea,65,78,31,66,70,57,,,,,,,,,,,,,,,,
,,Eritrea,,,,,,,,,,,,,,,,,,,,,,
,,Estonia,100,100,99,99,99,99,,,,100,100,100,100,100,100,100,100,100,100,,100,100
,,Eswatini,69,97,60,58,51,61,24,48,17,,,,,,,,,,,,,
,,Ethiopia,41,80,31,7,20,4,8,23,4,,,,,,,6,5,7,30,59,,64
,,Fiji,94,98,89,95,95,95,,,,88,,,76,,,61,,,,,,
,,Finland,100,100,100,99,99,99,,,,100,100,100,100,100,100,100,100,100,,,,
,,France,100,100,100,99,99,99,,,,100,100,100,100,100,100,100,100,100,,,,
,,Gabon,86,90,55,47,49,37,,,,,,,,,,,,,,,,
,,Gambia,78,87,63,39,45,30,8,12,1,,,,82,83,80,,,,,,,
,,Georgia,98,100,96,90,95,83,,,,74,,,60,,,12,,,,,,
,,Germany,100,100,100,99,99,99,,,,100,100,100,100,100,100,100,100,100,,,,
,,Ghana,81,93,68,18,24,12,41,45,37,,,,,,,,,,71,,,51
,,Greece,100,100,100,99,99,98,,,,,,,,,,,,,,,,
,,Grenada,96,,,91,,,,,,100,100,100,,,,100,100,100,,,,
,,Guatemala,94,98,90,65,79,51,77,83,70,,,,76,76,,,,,,,,
,,Guinea,62,86,49,23,34,17,17,26,13,10,10,,,,,,,,,,,
,,Guinea-Bissau,67,84,53,21,37,8,6,9,5,,,,,,,,,,,,,0
,,Guyana,96,100,94,86,92,84,77,75,78,,,,,,,,,,,,,
,,Haiti,65,85,43,35,44,24,23,29,16,,,,,,,,,,,,,6
,,Holy See,,,,,,,,,,,,,,,,,,,,,,
,,Honduras,95,99,89,81,85,76,,,,59,65,52,82,,,12,5,21,58,1,,
,,Hungary,100,100,100,98,98,99,,,,100,100,100,92,100,100,99,100,100,,,,
,,Iceland,100,100,100,99,99,100,,,,,,,,,,,,,,,,
,,India,93,96,91,60,72,53,60,80,49,69,68,75,73,72,79,54,55,53,,,,
,,Indonesia,89,95,82,73,80,65,64,72,55,66,65,68,34,31,41,42,43,40,80,,,66
,,Iran (Islamic Republic of),95,97,89,88,92,79,,,,,,,,,,,,,,,,
,,Iraq,97,99,91,94,97,88,95,96,90,,,,,,,,,,,,,
,,Ireland,97,97,98,91,89,94,,,,,,,,,,,,,,,,
,,Israel,100,100,100,100,100,100,,,,100,100,100,100,100,100,100,100,100,,,,
,,Italy,99,99,99,99,99,99,,,,100,100,100,100,100,100,100,100,100,,,,
,,Jamaica,91,96,85,87,86,90,,,,83,94,69,83,94,69,83,94,69,,,,
,,Japan,99,,,100,,,,,,,,,,,,,,,,,,
,,Jordan,99,99,98,97,97,96,,,,93,,,33,,,,,,,,,
,,Kazakhstan,96,98,92,98,97,99,99,99,99,,,,,,,,,,,,,
,,Kenya,59,85,50,29,35,27,25,32,22,,,,,,,,,,66,,,33
,,Kiribati,72,,,48,,,,,,,,,,,,,,,,,,
,,Kuwait,100,,,100,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100
,,Kyrgyzstan,87,97,82,97,92,99,89,93,87,,,,,,,,,100,,,,
,,Lao People's Democratic Republic,82,94,76,74,95,64,50,67,41,,,,,,,,,,,,,33
,,Latvia,99,99,98,92,96,83,,,,100,100,100,100,100,100,100,100,100,,,,
,,Lebanon,93,,,98,,,,,,59,60,61,93,92,95,36,34,46,61,16,,64
,,Lesotho,69,93,59,43,43,43,2,6,1,,,,,,,,,,,,,
,,Liberia,73,84,62,17,28,6,1,2,1,42,,,43,,,50,,,,3,36,67
,,Libya,99,,,100,,,,,,,,,95,,,13,,,,,,43
,,Liechtenstein,100,,,100,,,,,,,,,,,,,,,,,,
,,Lithuania,98,100,93,93,97,85,,,,,,,,,,,,,100,,,
,,Luxembourg,100,100,99,98,97,99,,,,,,,,,,,,,,,,
,,Madagascar,54,86,36,11,18,6,,,,,,,,,52,,,,,,,
,,Malawi,69,86,65,26,34,25,9,15,7,,,,70,72,61,,,,,,,43
,,Malaysia,97,99,89,100,100,99,,,,100,99,100,100,99,100,100,99,100,,,,
,,Maldives,99,98,100,99,99,99,96,97,95,,,,,,,,,,55,15,80,30
,,Mali,78,92,68,39,53,29,52,70,39,,,,20,17,20,,,,,,,
,,Malta,100,100,100,100,100,100,,,,,,,,,,,,,,,,
,,Marshall Islands,88,87,94,83,91,59,83,84,77,3,3,,27,27,,36,36,,,,,
,,Mauritania,71,89,50,48,75,19,43,55,29,,,,27,27,26,,,,81,,,25
,,Mauritius,100,100,100,96,96,95,,,,100,100,100,100,100,100,,,,,,,
,,Mexico,99,100,97,91,93,82,88,90,80,,,,75,75,,,,,,,,
,,Micronesia (Federated States of),79,,,88,,,,,,,,,,,,,,,,,,
,,Monaco,100,100,,100,100,,,,,100,100,100,100,100,100,100,100,100,,,,
,,Mongolia,83,96,56,58,66,42,71,81,49,74,73,73,63,70,63,41,44,66,,,,
,,Montenegro,97,96,99,98,100,94,,,,,,,,,,,,,100,85,100,100
,,Montserrat,,,,,,,,,,,,,,,,,,,,,,
,,Morocco,87,97,71,89,94,79,,,,82,73,91,70,70,,,,,,,,
,,Mozambique,56,84,40,29,52,17,,,,,,,48,48,,15,15,,,,,
,,Myanmar,82,93,77,64,76,59,79,92,74,71,71,,,,,,,,,,,3
,,Namibia,83,96,69,35,51,18,45,62,27,76,,,46,,,20,,,,,,
,,Nauru,99,99,,66,66,,,,,,,,86,100,66,,,,,,,
,,Nepal,89,89,89,62,67,61,48,67,43,47,39,76,,,,,,,,,,1
,,Netherlands,100,100,100,98,98,100,,,,100,100,100,100,100,100,100,100,100,,,,
,,New Zealand,100,100,100,100,100,100,,,,,,,,,,,,,,,,
,,Nicaragua,82,98,59,74,84,62,,,,,,,43,43,,,,,,,,
,,Niger,50,84,44,14,44,8,,,,,,,21,18,,14,14,,,,,60
,,Nigeria,71,87,56,39,48,31,42,53,31,,,,,,,,,,50,12,43,43
,,Niue,98,,,97,,,,,,100,100,100,100,100,100,100,100,100,,,,
,,North Macedonia,93,91,97,99,100,98,,,,,,,,,,,,,,,,
,,Norway,100,100,100,98,98,98,,,,100,100,100,100,100,100,100,100,100,,,,
,,Oman,92,95,78,100,100,100,97,,,92,,,,,,,,,,,,
,,Pakistan,91,94,90,60,77,50,60,83,46,57,52,81,,,,,,,,,,
,,Palau,100,100,100,100,100,100,,,,,,,,,,,,,,,,
,,Panama,96,98,93,83,92,65,,,,,,,82,82,,,,,,,,
,,Papua New Guinea,41,86,35,13,48,8,,,,47,46,80,45,44,69,10,10,14,70,,,10
,,Paraguay,100,100,99,90,94,83,80,84,72,,,,77,77,,,,,85,26,,6
,,Peru,91,96,76,74,80,56,,,56,73,71,73,68,70,72,,,,46,7,,28
,,Philippines,94,98,90,77,78,75,78,85,73,50,49,58,39,33,68,46,49,30,,,,
,,Poland,100,100,100,99,99,99,,,,,,,,,,,,,,,,
,,Portugal,100,100,100,100,100,100,,,,100,100,100,100,100,100,100,100,100,,,,
,,Qatar,100,,,100,,,,,,100,100,100,100,100,100,100,100,100,,,,
,,Republic of Korea,100,,,100,,,,,,100,100,100,100,100,100,100,100,100,,,,
,,Republic of Moldova,89,97,83,76,86,69,,,,100,100,100,94,100,100,100,100,100,,,,
,,Romania,100,100,100,84,95,71,,,,,,,,,,,,,,,,
,,Russian Federation,97,99,93,90,95,78,,,,,,,,,,,,,,,,
,,Rwanda,58,82,53,67,52,70,5,13,3,44,39,51,88,91,84,48,45,51,,,,
,,Saint Kitts and Nevis,,,,,,,,,,84,79,100,,,,84,79,100,,,,
,,Saint Lucia,98,98,98,88,78,91,,,,99,99,100,99,99,100,99,99,100,,,,
,,Saint Vincent and the Grenadines,95,,,87,,,,,,100,100,100,100,100,100,100,100,100,,,,
,,Samoa,97,100,97,98,98,98,,,,,,100,,,,,,,,,,
,,San Marino,100,,,100,,,,,,,,,,,,,,,100,,100,100
,,Sao Tome and Principe,84,87,77,43,48,31,41,39,47,,,,76,73,100,,,,,,,
,,Saudi Arabia,100,,,100,,,,,,,,,,,,,,,,,,
,,Senegal,81,92,70,51,65,40,24,42,9,32,32,,,,,22,25,10,46,,,31
,,Serbia,86,83,88,98,100,95,,,,72,63,91,74,66,92,73,66,91,96,73,100,100
,,Seychelles,96,,,100,,,,,,100,100,100,100,100,100,100,100,100,,,,80
,,Sierra Leone,61,76,50,16,26,9,19,27,14,62,,,12,,,,,,,,,17
,,Singapore,100,100,,100,100,,,,,100,100,100,100,100,100,100,100,100,,,,
,,Slovakia,100,100,100,98,99,97,,,,100,100,100,100,100,100,100,100,100,,,,
,,Slovenia,100,100,99,99,99,99,,,,100,100,100,100,100,100,100,100,100,,,,
,,Solomon Islands,68,91,61,34,78,20,36,59,29,17,20,19,27,22,34,17,,,,,,
,,Somalia,52,83,28,38,61,20,10,12,8,,,,,,,,,,,,,13
,,South Africa,93,99,81,76,76,75,44,53,27,78,,,,,,,,,,,,
,,South Sudan,41,65,35,11,37,5,,,,,,,,,,,,,,,,
,,Spain,100,100,100,100,100,100,,,,100,100,100,100,100,100,100,100,100,,,,
,,Sri Lanka,89,97,88,96,95,96,,,,,,,100,100,100,,,,99,,,27
,,State of Palestine,97,97,96,97,97,96,,,,80,81,86,81,78,86,23,22,29,,,,
,,Sudan,60,74,53,37,60,24,23,32,19,,,,,,,,,,,,,
,,Suriname,95,98,90,84,89,75,,,,,,,,,,,,,,,,
,,Sweden,100,100,100,99,99,100,,,,,,,,,,,,,,,,
,,Switzerland,100,100,100,100,100,100,,,,100,100,100,100,100,100,100,100,100,,,,
,,Syrian Arab Republic,97,99,95,91,91,91,71,72,69,,,,,,,,,,,,,
,,Tajikistan,81,96,76,97,95,98,73,87,67,79,,,44,,,26,,,,,,
,,Thailand,100,100,100,99,99,98,84,85,83,,,,,,,,,,,,,
,,Timor-Leste,78,98,70,54,76,44,28,43,22,,,,,,,,,,,,,
,,Togo,65,89,48,16,29,7,10,20,4,,,,23,,,,,,58,,,30
,,Tokelau,100,,100,97,,97,,,,,,,,,,,,,,,,
,,Tonga,100,100,100,93,97,92,,,,,,,,,,,,,,,,
,,Trinidad and Tobago,98,,,93,,,,,,,,,,,,,,,,,,
,,Tunisia,96,100,89,91,95,81,79,90,54,70,70,,99,99,,,,,,,,
,,Turkey,99,99,100,97,100,90,,,,,,,,,,,,,,,,
,,Turkmenistan,99,100,98,99,98,99,100,100,100,,,,,,,,,,,,,
,,Turks and Caicos Islands,94,,,88,,,,,,,,,,,,,,,,,,
,,Tuvalu,99,100,99,84,83,86,,,,,,,,,,,,,,,,
,,Uganda,49,75,41,18,26,16,21,34,17,69,,,79,,,37,,,31,12,,43
,,Ukraine,94,91,99,96,97,94,,,,,,,,,,83,69,93,,,,
,,United Arab Emirates,98,,,99,,,,,,,,,,,,,,,,,,
,,United Kingdom,100,100,100,99,99,99,,,,,,,,,,,,,,,,
,,United Republic of Tanzania,57,86,43,30,43,24,48,63,40,,,,47,47,,23,23,,65,5,35,27
,,United States,99,100,97,100,100,100,,,,100,100,100,100,100,100,100,100,100,,,,
,,Uruguay,99,100,95,97,97,97,,,,,,,83,83,,,,,,,,
,,Uzbekistan,98,100,96,100,100,100,,,,90,90,89,92,93,91,89,90,89,,,,
,,Vanuatu,91,100,88,34,48,29,25,48,17,,,,,,,,,,,,,
,,Venezuela (Bolivarian Republic of),96,,,94,,,,,,97,97,,90,90,,,,,,,,
,,Viet Nam,95,99,93,84,94,78,86,93,82,,,,,,,,,,51,,,
,,Yemen,63,79,55,59,88,43,50,71,38,36,,46,25,,,8,,,,,,13
,,Zambia,60,84,42,26,36,19,14,26,5,79,76,94,66,,,54,52,63,40,,,40
,,Zimbabwe,64,94,50,36,46,31,37,49,31,64,64,65,,,,,,,81,17,58,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
